alpha,sigma,model,model_short,elo_model_name,elo,num_runs,avg_utility,std_utility
0.0,0.6,llama-3.1-8b-instruct,Llama 3.1 8B,llama-3.1-8b-instruct,1211,2,6.324147900000002,8.981352900000001
0.0,0.6,amazon-nova-micro-v1.0,Nova Micro,amazon-nova-micro-v1.0,1240,2,-13.5,1.5
0.0,0.6,claude-3-haiku-20240307,Claude 3 Haiku,claude-3-haiku-20240307,1260,2,29.023,47.977000000000004
0.0,0.6,command-r-plus-08-2024,Command R+,command-r-plus-08-2024,1276,2,30.0,30.0
0.0,0.6,amazon-nova-pro-v1.0,Nova Pro,amazon-nova-pro-v1.0,1290,2,54.35,15.649999999999999
0.0,0.6,qwen2.5-72b-instruct,Qwen2.5 72B,qwen2.5-72b-instruct,1302,2,47.0,26.0
0.0,0.6,gpt-4o-mini-2024-07-18,GPT-4o mini,gpt-4o-mini-2024-07-18,1317,2,8.529300000000001,8.529300000000001
0.0,0.6,llama-3.3-70b-instruct,Llama 3.3 70B,llama-3.3-70b-instruct,1318,2,45.4,25.6
0.0,0.6,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,gpt-4.1-nano-2025-04-14,1322,2,0.0,0.0
0.0,0.6,qwq-32b,QwQ-32B,qwq-32b,1336,2,49.5,15.5
0.0,0.6,gpt-4o-2024-05-13,GPT-4o,gpt-4o-2024-05-13,1345,2,-1.0,1.0
0.0,0.6,deepseek-v3,DeepSeek V3,deepseek-v3,1358,2,33.5,33.5
0.0,0.6,o3-mini-high,o3-mini-high,o3-mini-high,1363,2,55.2,13.8
0.0,0.6,gemma-3-27b-it,Gemma 3 27B,gemma-3-27b-it,1365,2,52.1,8.899999999999999
0.0,0.6,claude-sonnet-4-20250514,Sonnet 4,claude-sonnet-4-20250514,1389,2,33.56,8.560000000000002
0.0,0.6,deepseek-r1,DeepSeek R1,deepseek-r1,1398,2,56.35,18.35
0.0,0.6,claude-haiku-4-5-20251001,Haiku 4.5,claude-haiku-4-5-20251001,1407,2,26.527500000000003,6.277500000000003
0.0,0.6,deepseek-r1-0528,DeepSeek R1-0528,deepseek-r1-0528,1422,2,52.74,2.3400000000000034
0.0,0.6,qwen3-max-preview,Qwen3 Max,qwen3-max-preview,1435,2,52.2,17.099999999999998
0.0,0.6,gemini-2.5-pro,Gemini 2.5 Pro,gemini-2.5-pro,1448,2,65.875,5.1249999999999964
0.0,0.6,claude-opus-4-5-20251101,Opus 4.5,claude-opus-4-5-20251101,1468,2,58.5548015,14.445198499999996
0.0,0.6,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,claude-opus-4-5-20251101-thinking-32k,1474,2,49.800000000000004,16.800000000000004
0.0,0.6,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,gpt-5.2-chat-latest-20260210,1478,2,41.900000000000006,13.900000000000002
0.0,0.6,gpt-5.4-high,GPT-5.4 High,gpt-5.4-high,1484,2,63.0,9.0
0.0,0.6,gemini-3-pro,Gemini 3 Pro,gemini-3-pro,1486,2,35.197649999999996,12.69765
0.0,0.6,claude-opus-4-6,Opus 4.6,claude-opus-4-6,1499,2,67.4,2.6000000000000014
0.0,0.6,claude-opus-4-6-thinking,Opus 4.6 Thinking,claude-opus-4-6-thinking,1504,2,32.085,10.215000000000002
0.0,1.0,llama-3.2-1b-instruct,Llama 3.2 1B,llama-3.2-1b-instruct,1110,2,0.0,0.0
0.0,1.0,llama-3.2-3b-instruct,Llama 3.2 3B,llama-3.2-3b-instruct,1166,2,23.5,41.5
0.0,1.0,llama-3.1-8b-instruct,Llama 3.1 8B,llama-3.1-8b-instruct,1211,2,-5.5,45.5
0.0,1.0,amazon-nova-micro-v1.0,Nova Micro,amazon-nova-micro-v1.0,1240,2,-28.5,11.5
0.0,1.0,claude-3-haiku-20240307,Claude 3 Haiku,claude-3-haiku-20240307,1260,2,51.0,2.0
0.0,1.0,command-r-plus-08-2024,Command R+,command-r-plus-08-2024,1276,2,52.0,15.0
0.0,1.0,amazon-nova-pro-v1.0,Nova Pro,amazon-nova-pro-v1.0,1290,2,50.5,14.5
0.0,1.0,qwen2.5-72b-instruct,Qwen2.5 72B,qwen2.5-72b-instruct,1302,2,52.5,1.5
0.0,1.0,gpt-4o-mini-2024-07-18,GPT-4o mini,gpt-4o-mini-2024-07-18,1317,2,43.496,8.503999999999998
0.0,1.0,llama-3.3-70b-instruct,Llama 3.3 70B,llama-3.3-70b-instruct,1318,2,37.0,2.0
0.0,1.0,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,gpt-4.1-nano-2025-04-14,1322,2,19.051745500000003,8.0517455
0.0,1.0,qwq-32b,QwQ-32B,qwq-32b,1336,2,43.5,3.5
0.0,1.0,gpt-4o-2024-05-13,GPT-4o,gpt-4o-2024-05-13,1345,2,56.0,1.0
0.0,1.0,deepseek-v3,DeepSeek V3,deepseek-v3,1358,2,39.35,9.65
0.0,1.0,o3-mini-high,o3-mini-high,o3-mini-high,1363,2,57.0,8.0
0.0,1.0,gemma-3-27b-it,Gemma 3 27B,gemma-3-27b-it,1365,2,5.605,27.605
0.0,1.0,claude-sonnet-4-20250514,Sonnet 4,claude-sonnet-4-20250514,1389,2,47.27,19.729999999999997
0.0,1.0,deepseek-r1,DeepSeek R1,deepseek-r1,1398,2,54.5,7.5
0.0,1.0,claude-haiku-4-5-20251001,Haiku 4.5,claude-haiku-4-5-20251001,1407,2,52.2,1.8000000000000007
0.0,1.0,deepseek-r1-0528,DeepSeek R1-0528,deepseek-r1-0528,1422,2,50.90029,26.099709999999998
0.0,1.0,qwen3-max-preview,Qwen3 Max,qwen3-max-preview,1435,2,45.0055,1.9944999999999986
0.0,1.0,gemini-2.5-pro,Gemini 2.5 Pro,gemini-2.5-pro,1448,2,67.75,8.75
0.0,1.0,claude-opus-4-5-20251101,Opus 4.5,claude-opus-4-5-20251101,1468,2,51.5,0.5
0.0,1.0,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,claude-opus-4-5-20251101-thinking-32k,1474,2,52.5,7.5
0.0,1.0,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,gpt-5.2-chat-latest-20260210,1478,2,64.5,7.5
0.0,1.0,gpt-5.4-high,GPT-5.4 High,gpt-5.4-high,1484,2,52.2,0.0
0.0,1.0,gemini-3-pro,Gemini 3 Pro,gemini-3-pro,1486,2,61.0,3.0
0.0,1.0,claude-opus-4-6,Opus 4.6,claude-opus-4-6,1499,2,49.55,5.449999999999999
0.0,1.0,claude-opus-4-6-thinking,Opus 4.6 Thinking,claude-opus-4-6-thinking,1504,2,51.0,6.0
0.5,0.2,llama-3.2-1b-instruct,Llama 3.2 1B,llama-3.2-1b-instruct,1110,2,0.0,0.0
0.5,0.2,llama-3.2-3b-instruct,Llama 3.2 3B,llama-3.2-3b-instruct,1166,2,-0.5,0.5
0.5,0.2,llama-3.1-8b-instruct,Llama 3.1 8B,llama-3.1-8b-instruct,1211,2,0.0,0.0
0.5,0.2,amazon-nova-micro-v1.0,Nova Micro,amazon-nova-micro-v1.0,1240,2,-2.8,0.8
0.5,0.2,claude-3-haiku-20240307,Claude 3 Haiku,claude-3-haiku-20240307,1260,2,5.187,0.8129999999999997
0.5,0.2,command-r-plus-08-2024,Command R+,command-r-plus-08-2024,1276,2,13.876515000000001,13.876515000000001
0.5,0.2,amazon-nova-pro-v1.0,Nova Pro,amazon-nova-pro-v1.0,1290,2,14.270175000000002,5.4128250000000016
0.5,0.2,qwen2.5-72b-instruct,Qwen2.5 72B,qwen2.5-72b-instruct,1302,2,34.05,19.05
0.5,0.2,gpt-4o-mini-2024-07-18,GPT-4o mini,gpt-4o-mini-2024-07-18,1317,2,19.69,21.31
0.5,0.2,llama-3.3-70b-instruct,Llama 3.3 70B,llama-3.3-70b-instruct,1318,2,0.5355,1.2645
0.5,0.2,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,gpt-4.1-nano-2025-04-14,1322,2,17.0,17.0
0.5,0.2,qwq-32b,QwQ-32B,qwq-32b,1336,2,3.680494645500001,3.680494645500001
0.5,0.2,gpt-4o-2024-05-13,GPT-4o,gpt-4o-2024-05-13,1345,2,24.05,15.95
0.5,0.2,deepseek-v3,DeepSeek V3,deepseek-v3,1358,2,22.4,11.6
0.5,0.2,o3-mini-high,o3-mini-high,o3-mini-high,1363,2,14.58,3.24
0.5,0.2,gemma-3-27b-it,Gemma 3 27B,gemma-3-27b-it,1365,2,32.4,32.4
0.5,0.2,claude-sonnet-4-20250514,Sonnet 4,claude-sonnet-4-20250514,1389,2,7.199999999999999,0.8999999999999999
0.5,0.2,deepseek-r1,DeepSeek R1,deepseek-r1,1398,2,6.115500000000001,0.44550000000000045
0.5,0.2,claude-haiku-4-5-20251001,Haiku 4.5,claude-haiku-4-5-20251001,1407,2,6.8100000000000005,5.1899999999999995
0.5,0.2,deepseek-r1-0528,DeepSeek R1-0528,deepseek-r1-0528,1422,2,9.1125,4.738500000000001
0.5,0.2,qwen3-max-preview,Qwen3 Max,qwen3-max-preview,1435,2,21.4,19.6
0.5,0.2,gemini-2.5-pro,Gemini 2.5 Pro,gemini-2.5-pro,1448,2,0.7290000000000001,0.7290000000000001
0.5,0.2,claude-opus-4-5-20251101,Opus 4.5,claude-opus-4-5-20251101,1468,2,24.043950000000002,1.5439500000000006
0.5,0.2,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,claude-opus-4-5-20251101-thinking-32k,1474,2,5.95,5.05
0.5,0.2,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,gpt-5.2-chat-latest-20260210,1478,2,11.603000000000002,1.3969999999999994
0.5,0.2,gpt-5.4-high,GPT-5.4 High,gpt-5.4-high,1484,2,18.795,12.795000000000002
0.5,0.2,gemini-3-pro,Gemini 3 Pro,gemini-3-pro,1486,2,18.25,4.75
0.5,0.2,claude-opus-4-6,Opus 4.6,claude-opus-4-6,1499,2,0.5,0.5
0.5,0.2,claude-opus-4-6-thinking,Opus 4.6 Thinking,claude-opus-4-6-thinking,1504,2,33.566715,29.433284999999998
0.5,0.6,llama-3.2-1b-instruct,Llama 3.2 1B,llama-3.2-1b-instruct,1110,2,19.0,15.0
0.5,0.6,llama-3.2-3b-instruct,Llama 3.2 3B,llama-3.2-3b-instruct,1166,2,24.05,6.949999999999999
0.5,0.6,llama-3.1-8b-instruct,Llama 3.1 8B,llama-3.1-8b-instruct,1211,2,33.3,16.2
0.5,0.6,amazon-nova-micro-v1.0,Nova Micro,amazon-nova-micro-v1.0,1240,2,-9.24,2.76
0.5,0.6,claude-3-haiku-20240307,Claude 3 Haiku,claude-3-haiku-20240307,1260,2,27.5,2.5
0.5,0.6,command-r-plus-08-2024,Command R+,command-r-plus-08-2024,1276,2,23.7575,1.757500000000002
0.5,0.6,amazon-nova-pro-v1.0,Nova Pro,amazon-nova-pro-v1.0,1290,2,54.0,9.0
0.5,0.6,qwen2.5-72b-instruct,Qwen2.5 72B,qwen2.5-72b-instruct,1302,2,30.5,8.5
0.5,0.6,gpt-4o-mini-2024-07-18,GPT-4o mini,gpt-4o-mini-2024-07-18,1317,2,24.4,22.6
0.5,0.6,llama-3.3-70b-instruct,Llama 3.3 70B,llama-3.3-70b-instruct,1318,2,31.9675,21.0325
0.5,0.6,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,gpt-4.1-nano-2025-04-14,1322,2,0.0,0.0
0.5,0.6,qwq-32b,QwQ-32B,qwq-32b,1336,2,25.0,6.0
0.5,0.6,gpt-4o-2024-05-13,GPT-4o,gpt-4o-2024-05-13,1345,2,48.14568,10.354319999999998
0.5,0.6,deepseek-v3,DeepSeek V3,deepseek-v3,1358,2,33.5,19.5
0.5,0.6,o3-mini-high,o3-mini-high,o3-mini-high,1363,2,34.505,17.494999999999997
0.5,0.6,gemma-3-27b-it,Gemma 3 27B,gemma-3-27b-it,1365,2,9.829945350000001,8.39505465
0.5,0.6,claude-sonnet-4-20250514,Sonnet 4,claude-sonnet-4-20250514,1389,2,35.4025,2.5974999999999966
0.5,0.6,deepseek-r1,DeepSeek R1,deepseek-r1,1398,2,45.45,4.949999999999999
0.5,0.6,claude-haiku-4-5-20251001,Haiku 4.5,claude-haiku-4-5-20251001,1407,2,16.49025,13.20975
0.5,0.6,deepseek-r1-0528,DeepSeek R1-0528,deepseek-r1-0528,1422,2,67.0,8.0
0.5,0.6,qwen3-max-preview,Qwen3 Max,qwen3-max-preview,1435,2,47.5,5.5
0.5,0.6,gemini-2.5-pro,Gemini 2.5 Pro,gemini-2.5-pro,1448,2,53.0,6.0
0.5,0.6,claude-opus-4-5-20251101,Opus 4.5,claude-opus-4-5-20251101,1468,2,34.212500000000006,0.21250000000000213
0.5,0.6,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,claude-opus-4-5-20251101-thinking-32k,1474,2,53.0,4.0
0.5,0.6,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,gpt-5.2-chat-latest-20260210,1478,2,46.8,1.8000000000000007
0.5,0.6,gpt-5.4-high,GPT-5.4 High,gpt-5.4-high,1484,2,36.89,6.109999999999999
0.5,0.6,gemini-3-pro,Gemini 3 Pro,gemini-3-pro,1486,2,34.5,5.5
0.5,0.6,claude-opus-4-6,Opus 4.6,claude-opus-4-6,1499,2,36.4995,13.900499999999997
0.5,0.6,claude-opus-4-6-thinking,Opus 4.6 Thinking,claude-opus-4-6-thinking,1504,2,36.47027862,17.529721379999998
0.5,1.0,llama-3.2-1b-instruct,Llama 3.2 1B,llama-3.2-1b-instruct,1110,2,32.5,4.5
0.5,1.0,llama-3.2-3b-instruct,Llama 3.2 3B,llama-3.2-3b-instruct,1166,2,9.72,9.72
0.5,1.0,llama-3.1-8b-instruct,Llama 3.1 8B,llama-3.1-8b-instruct,1211,2,20.65,3.6500000000000004
0.5,1.0,amazon-nova-micro-v1.0,Nova Micro,amazon-nova-micro-v1.0,1240,2,-7.605,25.605
0.5,1.0,claude-3-haiku-20240307,Claude 3 Haiku,claude-3-haiku-20240307,1260,2,7.15,17.15
0.5,1.0,command-r-plus-08-2024,Command R+,command-r-plus-08-2024,1276,2,29.05,11.95
0.5,1.0,amazon-nova-pro-v1.0,Nova Pro,amazon-nova-pro-v1.0,1290,2,38.0,30.0
0.5,1.0,qwen2.5-72b-instruct,Qwen2.5 72B,qwen2.5-72b-instruct,1302,2,37.5,3.5
0.5,1.0,gpt-4o-mini-2024-07-18,GPT-4o mini,gpt-4o-mini-2024-07-18,1317,2,6.253056000000001,10.753056
0.5,1.0,llama-3.3-70b-instruct,Llama 3.3 70B,llama-3.3-70b-instruct,1318,2,34.45,6.549999999999999
0.5,1.0,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,gpt-4.1-nano-2025-04-14,1322,2,3.0,0.0
0.5,1.0,qwq-32b,QwQ-32B,qwq-32b,1336,2,47.0,5.0
0.5,1.0,gpt-4o-2024-05-13,GPT-4o,gpt-4o-2024-05-13,1345,2,51.0,12.0
0.5,1.0,deepseek-v3,DeepSeek V3,deepseek-v3,1358,2,34.0,29.0
0.5,1.0,o3-mini-high,o3-mini-high,o3-mini-high,1363,2,27.178250000000002,8.178250000000002
0.5,1.0,gemma-3-27b-it,Gemma 3 27B,gemma-3-27b-it,1365,2,13.745000000000001,9.745000000000001
0.5,1.0,claude-sonnet-4-20250514,Sonnet 4,claude-sonnet-4-20250514,1389,2,45.900000000000006,5.400000000000002
0.5,1.0,deepseek-r1,DeepSeek R1,deepseek-r1,1398,2,56.5,7.5
0.5,1.0,claude-haiku-4-5-20251001,Haiku 4.5,claude-haiku-4-5-20251001,1407,2,39.22,19.78
0.5,1.0,deepseek-r1-0528,DeepSeek R1-0528,deepseek-r1-0528,1422,2,55.8,0.9000000000000021
0.5,1.0,qwen3-max-preview,Qwen3 Max,qwen3-max-preview,1435,2,52.0,7.0
0.5,1.0,gemini-2.5-pro,Gemini 2.5 Pro,gemini-2.5-pro,1448,2,48.2,2.1999999999999993
0.5,1.0,claude-opus-4-5-20251101,Opus 4.5,claude-opus-4-5-20251101,1468,2,44.55,0.4499999999999993
0.5,1.0,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,claude-opus-4-5-20251101-thinking-32k,1474,2,44.95,0.9499999999999993
0.5,1.0,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,gpt-5.2-chat-latest-20260210,1478,2,43.533,4.166999999999998
0.5,1.0,gpt-5.4-high,GPT-5.4 High,gpt-5.4-high,1484,2,43.35,4.350000000000001
0.5,1.0,gemini-3-pro,Gemini 3 Pro,gemini-3-pro,1486,2,46.5,2.5
0.5,1.0,claude-opus-4-6,Opus 4.6,claude-opus-4-6,1499,2,47.5,5.5
0.5,1.0,claude-opus-4-6-thinking,Opus 4.6 Thinking,claude-opus-4-6-thinking,1504,2,46.75,2.75
1.0,0.2,llama-3.2-1b-instruct,Llama 3.2 1B,llama-3.2-1b-instruct,1110,2,21.0,21.0
1.0,0.2,llama-3.2-3b-instruct,Llama 3.2 3B,llama-3.2-3b-instruct,1166,2,4.251528,4.251528
1.0,0.2,llama-3.1-8b-instruct,Llama 3.1 8B,llama-3.1-8b-instruct,1211,2,15.5,15.5
1.0,0.2,amazon-nova-micro-v1.0,Nova Micro,amazon-nova-micro-v1.0,1240,2,7.5,7.5
1.0,0.2,claude-3-haiku-20240307,Claude 3 Haiku,claude-3-haiku-20240307,1260,2,4.0,4.0
1.0,0.2,command-r-plus-08-2024,Command R+,command-r-plus-08-2024,1276,2,13.5,5.400000000000001
1.0,0.2,amazon-nova-pro-v1.0,Nova Pro,amazon-nova-pro-v1.0,1290,2,29.019000000000002,12.980999999999998
1.0,0.2,gpt-4o-mini-2024-07-18,GPT-4o mini,gpt-4o-mini-2024-07-18,1317,2,9.6937102445,9.3062897555
1.0,0.2,llama-3.3-70b-instruct,Llama 3.3 70B,llama-3.3-70b-instruct,1318,2,21.076515,6.676515000000001
1.0,0.2,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,gpt-4.1-nano-2025-04-14,1322,2,0.0,0.0
1.0,0.2,qwq-32b,QwQ-32B,qwq-32b,1336,2,19.450000000000003,8.450000000000001
1.0,0.2,gpt-4o-2024-05-13,GPT-4o,gpt-4o-2024-05-13,1345,2,10.5,10.5
1.0,0.2,deepseek-v3,DeepSeek V3,deepseek-v3,1358,2,11.0,11.0
1.0,0.2,o3-mini-high,o3-mini-high,o3-mini-high,1363,2,25.745,2.254999999999999
1.0,0.2,gemma-3-27b-it,Gemma 3 27B,gemma-3-27b-it,1365,2,0.405,0.405
1.0,0.2,claude-sonnet-4-20250514,Sonnet 4,claude-sonnet-4-20250514,1389,2,37.49,9.490000000000002
1.0,0.2,deepseek-r1,DeepSeek R1,deepseek-r1,1398,2,10.809648450000001,10.33135155
1.0,0.2,claude-haiku-4-5-20251001,Haiku 4.5,claude-haiku-4-5-20251001,1407,2,15.05,6.95
1.0,0.2,deepseek-r1-0528,DeepSeek R1-0528,deepseek-r1-0528,1422,2,4.05,4.05
1.0,0.2,qwen3-max-preview,Qwen3 Max,qwen3-max-preview,1435,2,34.2,2.6999999999999993
1.0,0.2,gemini-2.5-pro,Gemini 2.5 Pro,gemini-2.5-pro,1448,2,9.75,9.75
1.0,0.2,claude-opus-4-5-20251101,Opus 4.5,claude-opus-4-5-20251101,1468,2,24.349500000000003,1.7504999999999988
1.0,0.2,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,claude-opus-4-5-20251101-thinking-32k,1474,2,12.852450000000001,6.94755
1.0,0.2,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,gpt-5.2-chat-latest-20260210,1478,2,28.575000000000003,0.22499999999999964
1.0,0.2,gpt-5.4-high,GPT-5.4 High,gpt-5.4-high,1484,2,18.0625,7.9375
1.0,0.2,gemini-3-pro,Gemini 3 Pro,gemini-3-pro,1486,2,19.375,3.625
1.0,0.2,claude-opus-4-6,Opus 4.6,claude-opus-4-6,1499,2,22.67,11.33
1.0,0.2,claude-opus-4-6-thinking,Opus 4.6 Thinking,claude-opus-4-6-thinking,1504,2,20.815,2.1849999999999987
1.0,0.6,llama-3.2-1b-instruct,Llama 3.2 1B,llama-3.2-1b-instruct,1110,2,27.745,4.254999999999999
1.0,0.6,llama-3.2-3b-instruct,Llama 3.2 3B,llama-3.2-3b-instruct,1166,2,3.247695,3.247695
1.0,0.6,llama-3.1-8b-instruct,Llama 3.1 8B,llama-3.1-8b-instruct,1211,2,18.917550000000002,5.139450000000001
1.0,0.6,amazon-nova-micro-v1.0,Nova Micro,amazon-nova-micro-v1.0,1240,2,37.0,12.0
1.0,0.6,claude-3-haiku-20240307,Claude 3 Haiku,claude-3-haiku-20240307,1260,2,36.2781,8.7219
1.0,0.6,command-r-plus-08-2024,Command R+,command-r-plus-08-2024,1276,2,30.90735,13.19265
1.0,0.6,amazon-nova-pro-v1.0,Nova Pro,amazon-nova-pro-v1.0,1290,2,38.38905,24.61095
1.0,0.6,qwen2.5-72b-instruct,Qwen2.5 72B,qwen2.5-72b-instruct,1302,2,33.5,6.5
1.0,0.6,gpt-4o-mini-2024-07-18,GPT-4o mini,gpt-4o-mini-2024-07-18,1317,2,50.6,7.399999999999999
1.0,0.6,llama-3.3-70b-instruct,Llama 3.3 70B,llama-3.3-70b-instruct,1318,2,48.6,5.399999999999999
1.0,0.6,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,gpt-4.1-nano-2025-04-14,1322,2,0.0,0.0
1.0,0.6,qwq-32b,QwQ-32B,qwq-32b,1336,2,53.0,2.0
1.0,0.6,gpt-4o-2024-05-13,GPT-4o,gpt-4o-2024-05-13,1345,2,40.725,11.925000000000002
1.0,0.6,deepseek-v3,DeepSeek V3,deepseek-v3,1358,2,31.0868124,34.9131876
1.0,0.6,o3-mini-high,o3-mini-high,o3-mini-high,1363,2,42.25,5.25
1.0,0.6,gemma-3-27b-it,Gemma 3 27B,gemma-3-27b-it,1365,2,17.131500000000003,17.131500000000003
1.0,0.6,claude-sonnet-4-20250514,Sonnet 4,claude-sonnet-4-20250514,1389,2,43.0,8.0
1.0,0.6,deepseek-r1,DeepSeek R1,deepseek-r1,1398,2,45.900000000000006,2.6999999999999993
1.0,0.6,claude-haiku-4-5-20251001,Haiku 4.5,claude-haiku-4-5-20251001,1407,2,40.5,8.099999999999998
1.0,0.6,deepseek-r1-0528,DeepSeek R1-0528,deepseek-r1-0528,1422,2,44.7,3.3000000000000007
1.0,0.6,qwen3-max-preview,Qwen3 Max,qwen3-max-preview,1435,2,36.5,8.5
1.0,0.6,gemini-2.5-pro,Gemini 2.5 Pro,gemini-2.5-pro,1448,2,53.35,14.649999999999999
1.0,0.6,claude-opus-4-5-20251101,Opus 4.5,claude-opus-4-5-20251101,1468,2,42.900000000000006,3.900000000000002
1.0,0.6,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,claude-opus-4-5-20251101-thinking-32k,1474,2,53.0,8.0
1.0,0.6,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,gpt-5.2-chat-latest-20260210,1478,2,44.370000000000005,0.629999999999999
1.0,0.6,gpt-5.4-high,GPT-5.4 High,gpt-5.4-high,1484,2,49.95,11.25
1.0,0.6,gemini-3-pro,Gemini 3 Pro,gemini-3-pro,1486,2,45.5,2.5
1.0,0.6,claude-opus-4-6,Opus 4.6,claude-opus-4-6,1499,2,42.5,7.5
1.0,0.6,claude-opus-4-6-thinking,Opus 4.6 Thinking,claude-opus-4-6-thinking,1504,2,49.95,6.75
1.0,1.0,llama-3.2-1b-instruct,Llama 3.2 1B,llama-3.2-1b-instruct,1110,2,60.25,19.75
1.0,1.0,llama-3.2-3b-instruct,Llama 3.2 3B,llama-3.2-3b-instruct,1166,2,42.42233250000001,7.878667500000002
1.0,1.0,llama-3.1-8b-instruct,Llama 3.1 8B,llama-3.1-8b-instruct,1211,2,20.0,10.0
1.0,1.0,amazon-nova-micro-v1.0,Nova Micro,amazon-nova-micro-v1.0,1240,2,19.5,19.5
