rho,theta,model,model_short,elo,avg_utility,num_runs
-1.0,1.0,o3-mini-high,o3-mini-high,1364.0,35.629851672,2
-1.0,1.0,gemma-3-27b-it,Gemma 3 27B,1366.0,41.616600000000005,2
-1.0,1.0,claude-sonnet-4-20250514,Sonnet 4,1390.0,50.1435,2
-1.0,1.0,claude-haiku-4-5-20251001,Haiku 4.5,1406.0,72.64950000000002,2
-1.0,1.0,deepseek-r1-0528,DeepSeek R1-0528,1420.0,82.38387499999999,4
-1.0,1.0,qwen3-max-preview,Qwen3 Max,1435.0,69.831,2
-1.0,1.0,gemini-2.5-pro,Gemini 2.5 Pro,1449.0,82.3145,2
-1.0,1.0,claude-opus-4-5-20251101,Opus 4.5,1467.0,81.35400000000001,4
-1.0,1.0,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1481.0,78.696,2
-1.0,1.0,gpt-5.4-high,GPT-5.4 High,1485.0,76.10780000000001,2
-1.0,1.0,gemini-3-pro,Gemini 3 Pro,1486.0,53.84988000000001,2
-1.0,1.0,claude-opus-4-6,Opus 4.6,1503.0,75.32485,4
0.0,0.0,llama-3.2-1b-instruct,Llama 3.2 1B,1111.0,67.0,1
0.0,0.0,llama-3.2-3b-instruct,Llama 3.2 3B,1167.0,66.845,2
0.0,0.0,llama-3.1-8b-instruct,Llama 3.1 8B,1212.0,87.30000000000001,2
0.0,0.0,amazon-nova-micro-v1.0,Nova Micro,1241.0,81.46000000000001,2
0.0,0.0,claude-3-haiku-20240307,Claude 3 Haiku,1261.0,76.86500000000001,2
0.0,0.0,command-r-plus-08-2024,Command R+,1277.0,97.2,2
0.0,0.0,amazon-nova-pro-v1.0,Nova Pro,1290.0,91.965,2
0.0,0.0,qwen2.5-72b-instruct,Qwen2.5 72B,1303.0,98.75999999999999,2
0.0,0.0,gpt-4o-mini-2024-07-18,GPT-4o mini,1318.0,75.375,2
0.0,0.0,llama-3.3-70b-instruct,Llama 3.3 70B,1319.0,90.36,2
0.0,0.0,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322.0,82.675,2
0.0,0.0,qwq-32b,QwQ-32B,1336.0,100.0,2
0.0,0.0,gpt-4o-2024-05-13,GPT-4o,1346.0,96.55,2
0.0,0.0,deepseek-v3,DeepSeek V3,1359.0,98.0,2
0.0,0.0,o3-mini-high,o3-mini-high,1364.0,94.99000000000001,2
0.0,0.0,gemma-3-27b-it,Gemma 3 27B,1366.0,72.348275,2
0.0,0.0,claude-sonnet-4-20250514,Sonnet 4,1390.0,95.88,2
0.0,0.0,claude-haiku-4-5-20251001,Haiku 4.5,1406.0,93.97999999999999,2
0.0,0.0,deepseek-r1-0528,DeepSeek R1-0528,1420.0,92.424,4
0.0,0.0,qwen3-max-preview,Qwen3 Max,1435.0,100.0,2
0.0,0.0,gemini-2.5-pro,Gemini 2.5 Pro,1449.0,99.375,2
0.0,0.0,claude-opus-4-5-20251101,Opus 4.5,1467.0,98.625,4
0.0,0.0,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1481.0,98.055,2
0.0,0.0,gpt-5.4-high,GPT-5.4 High,1485.0,99.53,2
0.0,0.0,gemini-3-pro,Gemini 3 Pro,1486.0,100.0,2
0.0,0.0,claude-opus-4-6,Opus 4.6,1503.0,95.85300000000001,4
0.0,0.5,llama-3.2-1b-instruct,Llama 3.2 1B,1111.0,59.45400000000001,2
0.0,0.5,llama-3.2-3b-instruct,Llama 3.2 3B,1167.0,61.45,2
0.0,0.5,llama-3.1-8b-instruct,Llama 3.1 8B,1212.0,70.933575,2
0.0,0.5,amazon-nova-micro-v1.0,Nova Micro,1241.0,86.44399999999999,2
0.0,0.5,claude-3-haiku-20240307,Claude 3 Haiku,1261.0,76.01500000000001,2
0.0,0.5,command-r-plus-08-2024,Command R+,1277.0,85.095,2
0.0,0.5,amazon-nova-pro-v1.0,Nova Pro,1290.0,84.8205,2
0.0,0.5,qwen2.5-72b-instruct,Qwen2.5 72B,1303.0,61.050250000000005,2
0.0,0.5,gpt-4o-mini-2024-07-18,GPT-4o mini,1318.0,92.26000000000002,2
0.0,0.5,llama-3.3-70b-instruct,Llama 3.3 70B,1319.0,68.939,2
0.0,0.5,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322.0,87.22,2
0.0,0.5,qwq-32b,QwQ-32B,1336.0,86.1415,2
0.0,0.5,gpt-4o-2024-05-13,GPT-4o,1346.0,71.2894,2
0.0,0.5,deepseek-v3,DeepSeek V3,1359.0,61.5615025,2
0.0,0.5,o3-mini-high,o3-mini-high,1364.0,80.38111,2
0.0,0.5,gemma-3-27b-it,Gemma 3 27B,1366.0,42.86088125820001,2
0.0,0.5,claude-sonnet-4-20250514,Sonnet 4,1390.0,74.77289999999999,2
0.0,0.5,claude-haiku-4-5-20251001,Haiku 4.5,1406.0,85.02699999999999,2
0.0,0.5,deepseek-r1-0528,DeepSeek R1-0528,1420.0,72.187655,4
0.0,0.5,qwen3-max-preview,Qwen3 Max,1435.0,86.67,2
0.0,0.5,gemini-2.5-pro,Gemini 2.5 Pro,1449.0,65.4381,2
0.0,0.5,claude-opus-4-5-20251101,Opus 4.5,1467.0,81.092995,4
0.0,0.5,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1481.0,73.74600000000001,2
0.0,0.5,gpt-5.4-high,GPT-5.4 High,1485.0,84.886,2
0.0,0.5,gemini-3-pro,Gemini 3 Pro,1486.0,74.34355000000001,2
0.0,0.5,claude-opus-4-6,Opus 4.6,1503.0,89.58250000000001,4
0.0,1.0,llama-3.2-1b-instruct,Llama 3.2 1B,1111.0,58.81385882000001,2
0.0,1.0,llama-3.2-3b-instruct,Llama 3.2 3B,1167.0,68.244,2
0.0,1.0,llama-3.1-8b-instruct,Llama 3.1 8B,1212.0,83.69299999999998,2
0.0,1.0,amazon-nova-micro-v1.0,Nova Micro,1241.0,62.5167,2
0.0,1.0,claude-3-haiku-20240307,Claude 3 Haiku,1261.0,73.8055,2
0.0,1.0,command-r-plus-08-2024,Command R+,1277.0,83.585,2
0.0,1.0,amazon-nova-pro-v1.0,Nova Pro,1290.0,79.735,2
0.0,1.0,qwen2.5-72b-instruct,Qwen2.5 72B,1303.0,71.36715000000001,2
0.0,1.0,gpt-4o-mini-2024-07-18,GPT-4o mini,1318.0,77.74,2
0.0,1.0,llama-3.3-70b-instruct,Llama 3.3 70B,1319.0,77.452,2
0.0,1.0,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322.0,78.1405,2
0.0,1.0,qwq-32b,QwQ-32B,1336.0,67.29975,2
0.0,1.0,gpt-4o-2024-05-13,GPT-4o,1346.0,74.394,2
0.0,1.0,deepseek-v3,DeepSeek V3,1359.0,87.96199999999999,2
0.0,1.0,o3-mini-high,o3-mini-high,1364.0,59.04900000000001,1
0.0,1.0,gemma-3-27b-it,Gemma 3 27B,1366.0,77.696,2
0.0,1.0,claude-sonnet-4-20250514,Sonnet 4,1390.0,79.9205,2
0.0,1.0,claude-haiku-4-5-20251001,Haiku 4.5,1406.0,84.042,2
0.0,1.0,deepseek-r1-0528,DeepSeek R1-0528,1420.0,75.21819075,4
0.0,1.0,qwen3-max-preview,Qwen3 Max,1435.0,76.24450000000002,2
0.0,1.0,gemini-2.5-pro,Gemini 2.5 Pro,1449.0,85.0385,2
0.0,1.0,claude-opus-4-5-20251101,Opus 4.5,1467.0,80.430475,4
0.0,1.0,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1481.0,70.63650000000001,2
0.0,1.0,gpt-5.4-high,GPT-5.4 High,1485.0,83.25299999999999,2
0.0,1.0,gemini-3-pro,Gemini 3 Pro,1486.0,71.76310000000001,2
0.0,1.0,claude-opus-4-6,Opus 4.6,1503.0,85.657,4
1.0,0.0,llama-3.2-1b-instruct,Llama 3.2 1B,1111.0,90.4,1
1.0,0.0,llama-3.2-3b-instruct,Llama 3.2 3B,1167.0,93.84,2
1.0,0.0,llama-3.1-8b-instruct,Llama 3.1 8B,1212.0,97.76,2
1.0,0.0,amazon-nova-micro-v1.0,Nova Micro,1241.0,97.78999999999999,2
1.0,0.0,claude-3-haiku-20240307,Claude 3 Haiku,1261.0,99.17500000000001,2
1.0,0.0,command-r-plus-08-2024,Command R+,1277.0,95.0,2
1.0,0.0,amazon-nova-pro-v1.0,Nova Pro,1290.0,99.625,2
1.0,0.0,qwen2.5-72b-instruct,Qwen2.5 72B,1303.0,100.0,2
1.0,0.0,gpt-4o-mini-2024-07-18,GPT-4o mini,1318.0,99.78,2
1.0,0.0,llama-3.3-70b-instruct,Llama 3.3 70B,1319.0,97.905,2
1.0,0.0,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322.0,96.6,2
1.0,0.0,qwq-32b,QwQ-32B,1336.0,100.0,2
1.0,0.0,gpt-4o-2024-05-13,GPT-4o,1346.0,100.0,2
1.0,0.0,deepseek-v3,DeepSeek V3,1359.0,99.91,2
1.0,0.0,o3-mini-high,o3-mini-high,1364.0,100.0,2
1.0,0.0,gemma-3-27b-it,Gemma 3 27B,1366.0,90.5,2
1.0,0.0,claude-sonnet-4-20250514,Sonnet 4,1390.0,89.22,2
1.0,0.0,claude-haiku-4-5-20251001,Haiku 4.5,1406.0,99.28999999999999,2
1.0,0.0,deepseek-r1-0528,DeepSeek R1-0528,1420.0,99.53999999999999,4
1.0,0.0,qwen3-max-preview,Qwen3 Max,1435.0,100.0,2
1.0,0.0,gemini-2.5-pro,Gemini 2.5 Pro,1449.0,100.0,2
1.0,0.0,claude-opus-4-5-20251101,Opus 4.5,1467.0,99.025,4
1.0,0.0,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1481.0,100.0,2
1.0,0.0,gpt-5.4-high,GPT-5.4 High,1485.0,100.0,2
1.0,0.0,gemini-3-pro,Gemini 3 Pro,1486.0,100.0,2
1.0,0.0,claude-opus-4-6,Opus 4.6,1503.0,99.875,4
1.0,0.5,llama-3.2-1b-instruct,Llama 3.2 1B,1111.0,79.80930000000001,1
1.0,0.5,llama-3.2-3b-instruct,Llama 3.2 3B,1167.0,72.002182619,2
1.0,0.5,llama-3.1-8b-instruct,Llama 3.1 8B,1212.0,80.23455000000001,2
1.0,0.5,amazon-nova-micro-v1.0,Nova Micro,1241.0,85.83382,2
1.0,0.5,claude-3-haiku-20240307,Claude 3 Haiku,1261.0,99.23499999999999,2
1.0,0.5,command-r-plus-08-2024,Command R+,1277.0,99.17,2
1.0,0.5,amazon-nova-pro-v1.0,Nova Pro,1290.0,93.91550000000001,2
1.0,0.5,qwen2.5-72b-instruct,Qwen2.5 72B,1303.0,99.48,2
1.0,0.5,gpt-4o-mini-2024-07-18,GPT-4o mini,1318.0,99.16,2
1.0,0.5,llama-3.3-70b-instruct,Llama 3.3 70B,1319.0,94.3415,2
1.0,0.5,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322.0,96.52000000000001,2
1.0,0.5,qwq-32b,QwQ-32B,1336.0,99.82,2
1.0,0.5,gpt-4o-2024-05-13,GPT-4o,1346.0,100.0,2
1.0,0.5,deepseek-v3,DeepSeek V3,1359.0,89.44650000000001,2
1.0,0.5,o3-mini-high,o3-mini-high,1364.0,100.0,2
1.0,0.5,gemma-3-27b-it,Gemma 3 27B,1366.0,98.35999999999999,2
1.0,0.5,claude-sonnet-4-20250514,Sonnet 4,1390.0,94.84700000000001,2
1.0,0.5,claude-haiku-4-5-20251001,Haiku 4.5,1406.0,99.26,2
1.0,0.5,deepseek-r1-0528,DeepSeek R1-0528,1420.0,99.98249999999999,4
1.0,0.5,qwen3-max-preview,Qwen3 Max,1435.0,100.0,2
1.0,0.5,gemini-2.5-pro,Gemini 2.5 Pro,1449.0,99.89500000000001,2
1.0,0.5,claude-opus-4-5-20251101,Opus 4.5,1467.0,100.0,4
1.0,0.5,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1481.0,99.02000000000001,2
1.0,0.5,gpt-5.4-high,GPT-5.4 High,1485.0,99.94,2
1.0,0.5,gemini-3-pro,Gemini 3 Pro,1486.0,99.95,2
1.0,0.5,claude-opus-4-6,Opus 4.6,1503.0,99.6375,4
1.0,1.0,llama-3.2-1b-instruct,Llama 3.2 1B,1111.0,94.91000000000001,1
1.0,1.0,llama-3.2-3b-instruct,Llama 3.2 3B,1167.0,97.91499999999999,2
1.0,1.0,llama-3.1-8b-instruct,Llama 3.1 8B,1212.0,93.1885,2
1.0,1.0,amazon-nova-micro-v1.0,Nova Micro,1241.0,98.715,2
1.0,1.0,claude-3-haiku-20240307,Claude 3 Haiku,1261.0,99.185,2
1.0,1.0,command-r-plus-08-2024,Command R+,1277.0,99.53,2
1.0,1.0,amazon-nova-pro-v1.0,Nova Pro,1290.0,94.65,2
1.0,1.0,qwen2.5-72b-instruct,Qwen2.5 72B,1303.0,99.535,2
1.0,1.0,gpt-4o-mini-2024-07-18,GPT-4o mini,1318.0,93.80600000000001,2
1.0,1.0,llama-3.3-70b-instruct,Llama 3.3 70B,1319.0,98.60499999999999,2
1.0,1.0,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322.0,98.23500000000001,2
1.0,1.0,qwq-32b,QwQ-32B,1336.0,98.76999999999998,2
1.0,1.0,gpt-4o-2024-05-13,GPT-4o,1346.0,98.995,2
1.0,1.0,deepseek-v3,DeepSeek V3,1359.0,100.0,2
1.0,1.0,o3-mini-high,o3-mini-high,1364.0,100.0,2
1.0,1.0,gemma-3-27b-it,Gemma 3 27B,1366.0,88.51480000000001,2
1.0,1.0,claude-sonnet-4-20250514,Sonnet 4,1390.0,99.6,2
1.0,1.0,claude-haiku-4-5-20251001,Haiku 4.5,1406.0,99.0,2
1.0,1.0,deepseek-r1-0528,DeepSeek R1-0528,1420.0,99.3925,4
1.0,1.0,qwen3-max-preview,Qwen3 Max,1435.0,100.0,2
1.0,1.0,gemini-2.5-pro,Gemini 2.5 Pro,1449.0,100.0,2
1.0,1.0,claude-opus-4-5-20251101,Opus 4.5,1467.0,99.87,4
1.0,1.0,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1481.0,99.75,2
1.0,1.0,gpt-5.4-high,GPT-5.4 High,1485.0,100.0,2
1.0,1.0,gemini-3-pro,Gemini 3 Pro,1486.0,100.0,2
1.0,1.0,claude-opus-4-6,Opus 4.6,1503.0,99.915,4
