focal_model,focal_elo,focal_short,reference_model,reference_elo,model_order,run_id,alpha,sigma,competition_index,focal_utility,reference_utility,social_welfare,focal_advantage,consensus_reached,final_round
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,strong_first,run_1,1.0,0.2,0.0,42.0,32.0,74.0,10.0,1.0,1
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,strong_first,run_1,1.0,0.6,0.0,13.7781,3.9366000000000003,17.7147,9.8415,1.0,5
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,strong_first,run_1,1.0,0.6,0.0,13.7781,3.9366000000000003,17.7147,9.8415,1.0,5
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,strong_first,run_1,1.0,1.0,0.0,46.35,46.35,92.7,0.0,1.0,2
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,strong_first,run_1,1.0,1.0,0.0,46.35,46.35,92.7,0.0,1.0,2
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,weak_first,run_1,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,10
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,weak_first,run_1,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,10
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,weak_first,run_1,0.0,0.6,0.4,70.0,31.0,101.0,39.0,1.0,1
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,weak_first,run_1,0.0,0.6,0.4,70.0,31.0,101.0,39.0,1.0,1
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,weak_first,run_1,0.0,1.0,0.0,36.0,60.0,96.0,-24.0,1.0,1
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,weak_first,run_1,0.0,1.0,0.0,36.0,60.0,96.0,-24.0,1.0,1
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,weak_first,run_1,0.5,0.2,0.4,19.683000000000003,5.103000000000001,24.786000000000005,14.580000000000002,1.0,4
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,weak_first,run_1,0.5,0.2,0.4,19.683000000000003,5.103000000000001,24.786000000000005,14.580000000000002,1.0,4
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,weak_first,run_1,0.5,0.6,0.2,63.0,36.0,99.0,27.0,1.0,1
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,weak_first,run_1,0.5,0.6,0.2,63.0,36.0,99.0,27.0,1.0,1
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,weak_first,run_1,0.5,1.0,0.0,8.0,31.0,39.0,-23.0,1.0,1
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,weak_first,run_1,0.5,1.0,0.0,8.0,31.0,39.0,-23.0,1.0,1
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,weak_first,run_1,1.0,0.2,0.0,16.038000000000004,16.038000000000004,32.07600000000001,0.0,1.0,4
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,weak_first,run_1,1.0,0.2,0.0,16.038000000000004,16.038000000000004,32.07600000000001,0.0,1.0,4
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,weak_first,run_1,1.0,0.6,0.0,63.0,66.0,129.0,-3.0,1.0,1
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,weak_first,run_1,1.0,0.6,0.0,63.0,66.0,129.0,-3.0,1.0,1
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,weak_first,run_1,1.0,1.0,0.0,54.0,62.0,116.0,-8.0,1.0,1
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,gpt-5-nano,1338,weak_first,run_1,1.0,1.0,0.0,54.0,62.0,116.0,-8.0,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,strong_first,run_1,0.0,0.2,0.8,17.0,-6.0,11.0,23.0,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,strong_first,run_1,0.0,0.2,0.8,17.0,-6.0,11.0,23.0,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,strong_first,run_1,0.0,0.6,0.4,77.0,19.0,96.0,58.0,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,strong_first,run_1,0.0,0.6,0.4,77.0,19.0,96.0,58.0,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,strong_first,run_1,0.0,1.0,0.0,49.0,63.0,112.0,-14.0,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,strong_first,run_1,0.0,1.0,0.0,49.0,63.0,112.0,-14.0,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,strong_first,run_1,0.5,0.2,0.4,4.3740000000000006,19.683000000000003,24.057000000000002,-15.309000000000003,1.0,4
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,strong_first,run_1,0.5,0.2,0.4,4.3740000000000006,19.683000000000003,24.057000000000002,-15.309000000000003,1.0,4
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,strong_first,run_1,0.5,0.6,0.2,25.0,26.0,51.0,-1.0,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,strong_first,run_1,0.5,0.6,0.2,25.0,26.0,51.0,-1.0,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,strong_first,run_1,0.5,1.0,0.0,24.3,19.44,43.74,4.859999999999999,1.0,3
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,strong_first,run_1,0.5,1.0,0.0,24.3,19.44,43.74,4.859999999999999,1.0,3
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,strong_first,run_1,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,10
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,strong_first,run_1,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,10
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,strong_first,run_1,1.0,0.6,0.0,45.0,50.0,95.0,-5.0,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,strong_first,run_1,1.0,0.6,0.0,45.0,50.0,95.0,-5.0,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,strong_first,run_1,1.0,1.0,0.0,34.0,33.0,67.0,1.0,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,strong_first,run_1,1.0,1.0,0.0,34.0,33.0,67.0,1.0,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,weak_first,run_1,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,10
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,weak_first,run_1,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,10
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,weak_first,run_1,0.0,0.6,0.4,-18.954,48.843,29.889000000000003,-67.797,1.0,4
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,weak_first,run_1,0.0,0.6,0.4,-18.954,48.843,29.889000000000003,-67.797,1.0,4
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,weak_first,run_1,0.0,1.0,0.0,53.0,44.0,97.0,9.0,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,weak_first,run_1,0.0,1.0,0.0,53.0,44.0,97.0,9.0,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,weak_first,run_1,0.5,0.2,0.4,6.0,9.0,15.0,-3.0,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,weak_first,run_1,0.5,0.2,0.4,6.0,9.0,15.0,-3.0,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,weak_first,run_1,0.5,0.6,0.2,30.0,5.0,35.0,25.0,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,weak_first,run_1,0.5,0.6,0.2,30.0,5.0,35.0,25.0,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,weak_first,run_1,0.5,1.0,0.0,-10.0,48.0,38.0,-58.0,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,weak_first,run_1,0.5,1.0,0.0,-10.0,48.0,38.0,-58.0,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,weak_first,run_1,1.0,0.2,0.0,8.0,8.0,16.0,0.0,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,weak_first,run_1,1.0,0.2,0.0,8.0,8.0,16.0,0.0,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,weak_first,run_1,1.0,0.6,0.0,27.5562,27.5562,55.1124,0.0,1.0,5
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,weak_first,run_1,1.0,0.6,0.0,27.5562,27.5562,55.1124,0.0,1.0,5
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,weak_first,run_1,1.0,1.0,0.0,19.0,19.0,38.0,0.0,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,gpt-5-nano,1338,weak_first,run_1,1.0,1.0,0.0,19.0,19.0,38.0,0.0,1.0,1
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,strong_first,run_1,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,10
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,strong_first,run_1,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,10
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,strong_first,run_1,0.0,0.6,0.4,32.80500000000001,33.534000000000006,66.33900000000001,-0.7289999999999992,1.0,4
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,strong_first,run_1,0.0,0.6,0.4,32.80500000000001,33.534000000000006,66.33900000000001,-0.7289999999999992,1.0,4
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,strong_first,run_1,0.0,1.0,0.0,54.0,48.6,102.6,5.399999999999999,1.0,2
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,strong_first,run_1,0.0,1.0,0.0,54.0,48.6,102.6,5.399999999999999,1.0,2
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,strong_first,run_1,0.5,0.2,0.4,12.0,6.0,18.0,6.0,1.0,1
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,strong_first,run_1,0.5,0.2,0.4,12.0,6.0,18.0,6.0,1.0,1
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,strong_first,run_1,0.5,0.6,0.2,29.7,18.900000000000002,48.6,10.799999999999997,1.0,2
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,strong_first,run_1,0.5,0.6,0.2,29.7,18.900000000000002,48.6,10.799999999999997,1.0,2
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,strong_first,run_1,0.5,1.0,0.0,19.44,23.490000000000002,42.93000000000001,-4.050000000000001,1.0,3
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,strong_first,run_1,0.5,1.0,0.0,19.44,23.490000000000002,42.93000000000001,-4.050000000000001,1.0,3
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,strong_first,run_1,1.0,0.2,0.0,22.0,23.0,45.0,-1.0,1.0,1
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,strong_first,run_1,1.0,0.2,0.0,22.0,23.0,45.0,-1.0,1.0,1
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,strong_first,run_1,1.0,0.6,0.0,48.6,49.5,98.1,-0.8999999999999986,1.0,2
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,strong_first,run_1,1.0,0.6,0.0,48.6,49.5,98.1,-0.8999999999999986,1.0,2
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,strong_first,run_1,1.0,1.0,0.0,44.550000000000004,55.89,100.44,-11.339999999999996,1.0,3
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,strong_first,run_1,1.0,1.0,0.0,44.550000000000004,55.89,100.44,-11.339999999999996,1.0,3
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,weak_first,run_1,0.0,0.2,0.8,-3.6,33.300000000000004,29.700000000000003,-36.900000000000006,1.0,2
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,weak_first,run_1,0.0,0.2,0.8,-3.6,33.300000000000004,29.700000000000003,-36.900000000000006,1.0,2
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,weak_first,run_1,0.0,0.6,0.4,20.25,37.260000000000005,57.510000000000005,-17.010000000000005,1.0,3
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,weak_first,run_1,0.0,0.6,0.4,20.25,37.260000000000005,57.510000000000005,-17.010000000000005,1.0,3
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,weak_first,run_1,0.0,1.0,0.0,50.4,50.4,100.8,0.0,1.0,2
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,weak_first,run_1,0.0,1.0,0.0,50.4,50.4,100.8,0.0,1.0,2
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,weak_first,run_1,0.5,0.2,0.4,1.62,25.110000000000003,26.730000000000004,-23.490000000000002,1.0,3
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,weak_first,run_1,0.5,0.2,0.4,1.62,25.110000000000003,26.730000000000004,-23.490000000000002,1.0,3
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,weak_first,run_1,0.5,0.6,0.2,3.2805,22.3074,25.5879,-19.0269,1.0,5
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,weak_first,run_1,0.5,0.6,0.2,3.2805,22.3074,25.5879,-19.0269,1.0,5
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,weak_first,run_1,0.5,1.0,0.0,59.0,60.0,119.0,-1.0,1.0,1
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,weak_first,run_1,0.5,1.0,0.0,59.0,60.0,119.0,-1.0,1.0,1
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,weak_first,run_1,1.0,0.2,0.0,8.1,7.2,15.3,0.8999999999999995,1.0,2
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,weak_first,run_1,1.0,0.2,0.0,8.1,7.2,15.3,0.8999999999999995,1.0,2
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,weak_first,run_1,1.0,0.6,0.0,32.400000000000006,32.400000000000006,64.80000000000001,0.0,1.0,3
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,weak_first,run_1,1.0,0.6,0.0,32.400000000000006,32.400000000000006,64.80000000000001,0.0,1.0,3
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,weak_first,run_1,1.0,1.0,0.0,37.0,49.0,86.0,-12.0,1.0,1
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,gpt-5-nano,1338,weak_first,run_1,1.0,1.0,0.0,37.0,49.0,86.0,-12.0,1.0,1
claude-opus-4-5-20251101,0,claude-opus-4-5-20251101,gpt-5-nano,1338,strong_first,run_1,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,10
claude-opus-4-5-20251101,0,claude-opus-4-5-20251101,gpt-5-nano,1338,strong_first,run_1,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,10
claude-opus-4-5-20251101,0,claude-opus-4-5-20251101,gpt-5-nano,1338,strong_first,run_1,0.0,0.6,0.4,44.10960300000001,-14.348907,29.760696000000006,58.458510000000004,1.0,7
claude-opus-4-5-20251101,0,claude-opus-4-5-20251101,gpt-5-nano,1338,strong_first,run_1,0.0,0.6,0.4,44.10960300000001,-14.348907,29.760696000000006,58.458510000000004,1.0,7
claude-opus-4-5-20251101,0,claude-opus-4-5-20251101,gpt-5-nano,1338,strong_first,run_1,0.0,1.0,0.0,52.0,52.0,104.0,0.0,1.0,1
claude-opus-4-5-20251101,0,claude-opus-4-5-20251101,gpt-5-nano,1338,strong_first,run_1,0.0,1.0,0.0,52.0,52.0,104.0,0.0,1.0,1
claude-opus-4-5-20251101,0,claude-opus-4-5-20251101,gpt-5-nano,1338,strong_first,run_1,0.5,0.2,0.4,22.5,11.700000000000001,34.2,10.799999999999999,1.0,2
claude-opus-4-5-20251101,0,claude-opus-4-5-20251101,gpt-5-nano,1338,strong_first,run_1,0.5,0.2,0.4,22.5,11.700000000000001,34.2,10.799999999999999,1.0,2
claude-opus-4-5-20251101,0,claude-opus-4-5-20251101,gpt-5-nano,1338,strong_first,run_1,0.5,0.6,0.2,34.425000000000004,41.715,76.14000000000001,-7.289999999999999,1.0,3
claude-opus-4-5-20251101,0,claude-opus-4-5-20251101,gpt-5-nano,1338,strong_first,run_1,0.5,0.6,0.2,34.425000000000004,41.715,76.14000000000001,-7.289999999999999,1.0,3
claude-opus-4-5-20251101,0,claude-opus-4-5-20251101,gpt-5-nano,1338,strong_first,run_1,0.5,1.0,0.0,45.0,44.1,89.1,0.8999999999999986,1.0,2
claude-opus-4-5-20251101,0,claude-opus-4-5-20251101,gpt-5-nano,1338,strong_first,run_1,0.5,1.0,0.0,45.0,44.1,89.1,0.8999999999999986,1.0,2
