n,run,elo_variance,elo_stddev,selected_models,selected_elos
2,86,81.000000,9.000000,claude-haiku-4-5-20251001;claude-sonnet-4-20250514,1407;1389
2,87,3192.250000,56.500000,gpt-4.1-nano-2025-04-14;qwen3-max-preview,1322;1435
2,88,2256.250000,47.500000,claude-sonnet-4-20250514;gpt-5.4-high,1389;1484
2,89,9506.250000,97.500000,qwen3-max-preview;amazon-nova-micro-v1.0,1435;1240
2,90,16770.250000,129.500000,claude-opus-4-6;amazon-nova-micro-v1.0,1499;1240
2,91,650.250000,25.500000,gemini-3-pro;qwen3-max-preview,1486;1435
2,92,1849.000000,43.000000,qwq-32b;deepseek-r1-0528,1336;1422
2,93,2256.250000,47.500000,gpt-5.4-high;claude-sonnet-4-20250514,1484;1389
2,94,3080.250000,55.500000,gpt-5-nano-high;gemini-2.5-pro,1337;1448
2,95,812.250000,28.500000,gpt-4o-mini-2024-07-18;claude-3-haiku-20240307,1317;1260
2,96,64.000000,8.000000,claude-3-haiku-20240307;command-r-plus-08-2024,1260;1276
2,97,6561.000000,81.000000,gpt-5-nano-high;claude-opus-4-6,1337;1499
2,98,6972.250000,83.500000,amazon-nova-micro-v1.0;claude-haiku-4-5-20251001,1240;1407
2,99,182.250000,13.500000,amazon-nova-pro-v1.0;gpt-4o-mini-2024-07-18,1290;1317
4,0,4337.250000,65.857801,o3-mini-high;gemini-3-pro;qwq-32b;gpt-4o-mini-2024-07-18,1363;1486;1336;1317
4,1,10495.250000,102.446327,claude-opus-4-6;gemma-3-27b-it;amazon-nova-micro-v1.0;claude-opus-4-5-20251101-thinking-32k,1499;1365;1240;1474
4,2,8019.687500,89.552708,gemini-2.5-pro;gpt-5-nano-high;claude-3-haiku-20240307;gemini-3-pro,1448;1337;1260;1486
4,3,1693.500000,41.152157,qwen3-max-preview;gemini-2.5-pro;claude-opus-4-5-20251101-thinking-32k;o3-mini-high,1435;1448;1474;1363
4,4,5451.187500,73.832158,o3-mini-high;command-r-plus-08-2024;claude-opus-4-5-20251101-thinking-32k;llama-3.3-70b-instruct,1363;1276;1474;1318
4,5,10386.000000,101.911727,amazon-nova-micro-v1.0;claude-opus-4-5-20251101-thinking-32k;gemini-3-pro;qwq-32b,1240;1474;1486;1336
4,6,1693.500000,41.152157,qwen3-max-preview;o3-mini-high;gemini-2.5-pro;claude-opus-4-5-20251101-thinking-32k,1435;1363;1448;1474
4,7,5083.187500,71.296476,gemini-3-pro;o3-mini-high;gpt-4.1-nano-2025-04-14;gpt-5.2-chat-latest-20260210,1486;1363;1322;1478
4,8,3461.250000,58.832389,gpt-5-nano-high;qwen3-max-preview;gpt-5.4-high;gpt-5.2-chat-latest-20260210,1337;1435;1484;1478
4,9,5626.187500,75.007916,llama-3.3-70b-instruct;claude-opus-4-6-thinking;claude-opus-4-6;gemini-2.5-pro,1318;1504;1499;1448
4,10,3871.250000,62.219370,claude-opus-4-6;gemma-3-27b-it;qwq-32b;deepseek-r1-0528,1499;1365;1336;1422
4,11,3595.687500,59.964052,gpt-4o-2024-05-13;deepseek-v3;claude-opus-4-5-20251101;claude-opus-4-5-20251101-thinking-32k,1345;1358;1468;1474
4,12,4103.187500,64.056128,claude-haiku-4-5-20251001;command-r-plus-08-2024;gemini-2.5-pro;deepseek-v3,1407;1276;1448;1358
4,13,1082.187500,32.896618,gpt-5.4-high;claude-haiku-4-5-20251001;gpt-5.2-chat-latest-20260210;gemini-3-pro,1484;1407;1478;1486
4,14,1061.250000,32.576832,command-r-plus-08-2024;o3-mini-high;gpt-4o-2024-05-13;gpt-4.1-nano-2025-04-14,1276;1363;1345;1322
4,15,1213.187500,34.830841,deepseek-r1-0528;claude-opus-4-5-20251101-thinking-32k;claude-opus-4-5-20251101;claude-sonnet-4-20250514,1422;1474;1468;1389
4,16,6175.500000,78.584350,claude-opus-4-5-20251101-thinking-32k;llama-3.3-70b-instruct;gpt-4o-2024-05-13;claude-opus-4-6,1474;1318;1345;1499
4,17,629.000000,25.079872,claude-haiku-4-5-20251001;o3-mini-high;gemma-3-27b-it;gpt-5-nano-high,1407;1363;1365;1337
4,18,3831.687500,61.900626,gpt-4o-2024-05-13;claude-opus-4-5-20251101-thinking-32k;gpt-4o-mini-2024-07-18;gpt-5-nano-high,1345;1474;1317;1337
4,19,5881.250000,76.689308,o3-mini-high;gpt-5-nano-high;claude-opus-4-5-20251101-thinking-32k;claude-3-haiku-20240307,1363;1337;1474;1260
4,20,9535.687500,97.650845,gpt-4o-2024-05-13;amazon-nova-micro-v1.0;claude-opus-4-5-20251101;gpt-5.2-chat-latest-20260210,1345;1240;1468;1478
4,21,7072.250000,84.096671,gpt-5.4-high;gpt-5-nano-high;gpt-4o-mini-2024-07-18;claude-opus-4-6-thinking,1484;1337;1317;1504
4,22,5122.000000,71.568149,claude-3-haiku-20240307;gpt-4.1-nano-2025-04-14;gemini-2.5-pro;amazon-nova-pro-v1.0,1260;1322;1448;1290
4,23,1772.187500,42.097357,claude-haiku-4-5-20251001;deepseek-v3;qwq-32b;amazon-nova-pro-v1.0,1407;1358;1336;1290
4,24,7182.750000,84.751106,amazon-nova-pro-v1.0;claude-opus-4-5-20251101;qwq-32b;amazon-nova-micro-v1.0,1290;1468;1336;1240
4,25,3174.687500,56.344365,claude-sonnet-4-20250514;gemini-3-pro;gpt-5-nano-high;o3-mini-high,1389;1486;1337;1363
4,26,2499.687500,49.996875,gemini-3-pro;gpt-5.4-high;deepseek-r1-0528;gemma-3-27b-it,1486;1484;1422;1365
4,27,5107.250000,71.465026,gpt-5.4-high;claude-opus-4-5-20251101-thinking-32k;gpt-4o-mini-2024-07-18;o3-mini-high,1484;1474;1317;1363
4,28,4023.500000,63.431065,gpt-5.4-high;gpt-4o-2024-05-13;gpt-5.2-chat-latest-20260210;gemma-3-27b-it,1484;1345;1478;1365
4,29,4530.250000,67.307132,claude-opus-4-5-20251101-thinking-32k;claude-sonnet-4-20250514;amazon-nova-pro-v1.0;gpt-4o-2024-05-13,1474;1389;1290;1345
4,30,1593.687500,39.921016,deepseek-v3;claude-opus-4-5-20251101;deepseek-r1-0528;qwen3-max-preview,1358;1468;1422;1435
4,31,8321.687500,91.223284,claude-opus-4-5-20251101-thinking-32k;gpt-5.4-high;command-r-plus-08-2024;claude-opus-4-6,1474;1484;1276;1499
4,32,769.187500,27.734230,amazon-nova-pro-v1.0;gpt-4o-2024-05-13;o3-mini-high;gpt-4o-mini-2024-07-18,1290;1345;1363;1317
4,33,2082.500000,45.634417,deepseek-v3;claude-haiku-4-5-20251001;qwen3-max-preview;gpt-5.4-high,1358;1407;1435;1484
4,34,4897.187500,69.979908,claude-opus-4-6-thinking;deepseek-v3;qwq-32b;gpt-5-nano-high,1504;1358;1336;1337
4,35,7707.000000,87.789521,gpt-5.4-high;claude-opus-4-5-20251101;qwq-32b;command-r-plus-08-2024,1484;1468;1336;1276
4,36,3348.500000,57.866225,claude-haiku-4-5-20251001;claude-3-haiku-20240307;gpt-5-nano-high;command-r-plus-08-2024,1407;1260;1337;1276
4,37,3607.687500,60.064028,gpt-5.4-high;claude-opus-4-6-thinking;claude-opus-4-6;deepseek-v3,1484;1504;1499;1358
4,38,3241.687500,56.935819,gemini-2.5-pro;gpt-5.2-chat-latest-20260210;deepseek-v3;gpt-4o-2024-05-13,1448;1478;1358;1345
4,39,4827.687500,69.481562,claude-opus-4-6-thinking;claude-haiku-4-5-20251001;deepseek-v3;llama-3.3-70b-instruct,1504;1407;1358;1318
4,40,2467.500000,49.673937,claude-sonnet-4-20250514;qwen3-max-preview;qwq-32b;claude-opus-4-5-20251101,1389;1435;1336;1468
4,41,2179.187500,46.681768,amazon-nova-pro-v1.0;amazon-nova-micro-v1.0;o3-mini-high;claude-3-haiku-20240307,1290;1240;1363;1260
4,42,8628.687500,92.890729,gpt-4o-2024-05-13;amazon-nova-micro-v1.0;claude-sonnet-4-20250514;claude-opus-4-6,1345;1240;1389;1499
4,43,8920.750000,94.449722,qwq-32b;amazon-nova-micro-v1.0;gemini-2.5-pro;gpt-5.2-chat-latest-20260210,1336;1240;1448;1478
4,44,6670.000000,81.670068,gpt-4.1-nano-2025-04-14;qwq-32b;claude-opus-4-6-thinking;gpt-5.2-chat-latest-20260210,1322;1336;1504;1478
4,45,6968.750000,83.479039,deepseek-r1-0528;deepseek-v3;claude-3-haiku-20240307;gemini-3-pro,1422;1358;1260;1486
4,46,4743.687500,68.874433,gpt-4.1-nano-2025-04-14;gpt-4o-mini-2024-07-18;gpt-5.2-chat-latest-20260210;llama-3.3-70b-instruct,1322;1317;1478;1318
4,47,7885.000000,88.797522,gpt-4.1-nano-2025-04-14;gpt-5.4-high;amazon-nova-micro-v1.0;llama-3.3-70b-instruct,1322;1484;1240;1318
4,48,3351.500000,57.892141,gpt-5-nano-high;claude-opus-4-5-20251101;gemma-3-27b-it;llama-3.3-70b-instruct,1337;1468;1365;1318
4,49,5504.187500,74.190212,claude-sonnet-4-20250514;command-r-plus-08-2024;qwq-32b;gpt-5.2-chat-latest-20260210,1389;1276;1336;1478
4,50,5144.687500,71.726477,gpt-4o-2024-05-13;gpt-5.2-chat-latest-20260210;gpt-4.1-nano-2025-04-14;claude-opus-4-5-20251101-thinking-32k,1345;1478;1322;1474
4,51,7618.687500,87.285093,deepseek-v3;gpt-4o-2024-05-13;amazon-nova-micro-v1.0;gemini-3-pro,1358;1345;1240;1486
4,52,5131.250000,71.632744,claude-opus-4-6;gpt-4o-mini-2024-07-18;qwq-32b;deepseek-v3,1499;1317;1336;1358
4,53,2222.500000,47.143398,claude-sonnet-4-20250514;claude-haiku-4-5-20251001;qwq-32b;claude-opus-4-5-20251101,1389;1407;1336;1468
4,54,5198.187500,72.098457,llama-3.3-70b-instruct;gpt-5.2-chat-latest-20260210;gpt-4o-2024-05-13;amazon-nova-pro-v1.0,1318;1478;1345;1290
4,55,2976.500000,54.557309,claude-opus-4-5-20251101;deepseek-r1-0528;gpt-5-nano-high;gpt-4o-2024-05-13,1468;1422;1337;1345
4,56,2692.187500,51.886294,qwen3-max-preview;amazon-nova-pro-v1.0;gpt-4o-2024-05-13;gemma-3-27b-it,1435;1290;1345;1365
4,57,1994.187500,44.656327,gpt-4.1-nano-2025-04-14;claude-sonnet-4-20250514;gpt-5-nano-high;qwen3-max-preview,1322;1389;1337;1435
4,58,2882.187500,53.686008,gpt-4o-2024-05-13;deepseek-r1-0528;claude-opus-4-5-20251101-thinking-32k;gpt-5.2-chat-latest-20260210,1345;1422;1474;1478
4,59,3049.687500,55.223976,o3-mini-high;gpt-4o-2024-05-13;gpt-5-nano-high;claude-opus-4-5-20251101-thinking-32k,1363;1345;1337;1474
4,60,4603.187500,67.846794,gpt-4o-mini-2024-07-18;claude-haiku-4-5-20251001;deepseek-v3;claude-opus-4-6,1317;1407;1358;1499
4,61,816.500000,28.574464,qwq-32b;claude-sonnet-4-20250514;gpt-4.1-nano-2025-04-14;gpt-4o-mini-2024-07-18,1336;1389;1322;1317
4,62,5318.687500,72.929332,command-r-plus-08-2024;claude-haiku-4-5-20251001;claude-opus-4-5-20251101-thinking-32k;deepseek-r1-0528,1276;1407;1474;1422
4,63,2357.000000,48.548944,gpt-5-nano-high;claude-haiku-4-5-20251001;gpt-4o-mini-2024-07-18;qwen3-max-preview,1337;1407;1317;1435
4,64,7955.187500,89.191858,command-r-plus-08-2024;claude-3-haiku-20240307;gpt-5-nano-high;gemini-3-pro,1276;1260;1337;1486
4,65,6790.250000,82.402973,gpt-4o-2024-05-13;gpt-5.4-high;claude-3-haiku-20240307;gpt-4o-mini-2024-07-18,1345;1484;1260;1317
4,66,6073.687500,77.933866,gpt-4.1-nano-2025-04-14;gpt-5.4-high;gpt-5-nano-high;command-r-plus-08-2024,1322;1484;1337;1276
4,67,5946.750000,77.115174,deepseek-v3;gpt-5.2-chat-latest-20260210;claude-opus-4-6-thinking;gpt-4.1-nano-2025-04-14,1358;1478;1504;1322
4,68,2693.687500,51.900747,gpt-5.2-chat-latest-20260210;gemini-3-pro;gpt-5.4-high;o3-mini-high,1478;1486;1484;1363
4,69,3453.687500,58.768082,llama-3.3-70b-instruct;gpt-5.2-chat-latest-20260210;deepseek-r1-0528;qwen3-max-preview,1318;1478;1422;1435
4,70,2574.187500,50.736451,qwq-32b;gemini-2.5-pro;gpt-4o-2024-05-13;llama-3.3-70b-instruct,1336;1448;1345;1318
4,71,1277.187500,35.737760,gpt-4.1-nano-2025-04-14;amazon-nova-pro-v1.0;qwq-32b;claude-sonnet-4-20250514,1322;1290;1336;1389
4,72,3728.000000,61.057350,deepseek-v3;deepseek-r1-0528;gpt-5.2-chat-latest-20260210;llama-3.3-70b-instruct,1358;1422;1478;1318
4,73,4488.750000,66.998134,claude-opus-4-5-20251101;gpt-4.1-nano-2025-04-14;claude-opus-4-5-20251101-thinking-32k;gemini-3-pro,1468;1322;1474;1486
4,74,4208.187500,64.870544,amazon-nova-micro-v1.0;deepseek-r1-0528;gpt-4.1-nano-2025-04-14;gpt-4o-2024-05-13,1240;1422;1322;1345
4,75,10263.500000,101.308933,claude-opus-4-6;amazon-nova-micro-v1.0;claude-opus-4-5-20251101;gemma-3-27b-it,1499;1240;1468;1365
4,76,1058.187500,32.529794,gpt-5.2-chat-latest-20260210;claude-opus-4-6;deepseek-r1-0528;claude-opus-4-6-thinking,1478;1499;1422;1504
4,77,1827.250000,42.746345,o3-mini-high;claude-3-haiku-20240307;gemma-3-27b-it;llama-3.3-70b-instruct,1363;1260;1365;1318
4,78,4498.687500,67.072256,deepseek-r1-0528;gemini-2.5-pro;gpt-4o-mini-2024-07-18;amazon-nova-pro-v1.0,1422;1448;1317;1290
4,79,3390.500000,58.228000,gpt-4o-2024-05-13;claude-sonnet-4-20250514;gpt-5.4-high;claude-opus-4-5-20251101-thinking-32k,1345;1389;1484;1474
4,80,2826.687500,53.166601,gpt-5-nano-high;claude-haiku-4-5-20251001;qwen3-max-preview;gpt-5.4-high,1337;1407;1435;1484
4,81,3535.250000,59.457968,llama-3.3-70b-instruct;gpt-5-nano-high;claude-haiku-4-5-20251001;amazon-nova-micro-v1.0,1318;1337;1407;1240
4,82,7356.687500,85.771134,gpt-4.1-nano-2025-04-14;claude-sonnet-4-20250514;claude-opus-4-6-thinking;command-r-plus-08-2024,1322;1389;1504;1276
4,83,2801.000000,52.924474,gpt-5.2-chat-latest-20260210;gemini-2.5-pro;qwq-32b;deepseek-r1-0528,1478;1448;1336;1422
4,84,976.250000,31.245000,gpt-5.2-chat-latest-20260210;claude-opus-4-6;deepseek-r1-0528;qwen3-max-preview,1478;1499;1422;1435
4,85,4672.687500,68.357059,amazon-nova-pro-v1.0;gpt-4o-2024-05-13;qwq-32b;claude-opus-4-5-20251101-thinking-32k,1290;1345;1336;1474
4,86,4791.687500,69.222016,claude-3-haiku-20240307;qwen3-max-preview;deepseek-r1-0528;deepseek-v3,1260;1435;1422;1358
4,87,1974.250000,44.432533,gemma-3-27b-it;claude-3-haiku-20240307;command-r-plus-08-2024;gpt-4o-2024-05-13,1365;1260;1276;1345
4,88,3144.500000,56.075842,gpt-4.1-nano-2025-04-14;claude-haiku-4-5-20251001;gemma-3-27b-it;claude-opus-4-5-20251101-thinking-32k,1322;1407;1365;1474
4,89,9427.687500,97.096280,llama-3.3-70b-instruct;claude-opus-4-6-thinking;claude-sonnet-4-20250514;amazon-nova-micro-v1.0,1318;1504;1389;1240
4,90,6901.687500,83.076396,o3-mini-high;llama-3.3-70b-instruct;gemini-3-pro;claude-3-haiku-20240307,1363;1318;1486;1260
4,91,2141.187500,46.272967,qwen3-max-preview;deepseek-r1-0528;gpt-4.1-nano-2025-04-14;deepseek-v3,1435;1422;1322;1358
4,92,3123.500000,55.888281,deepseek-v3;gemma-3-27b-it;gpt-4o-2024-05-13;gpt-5.4-high,1358;1365;1345;1484
4,93,1057.250000,32.515381,claude-haiku-4-5-20251001;gpt-4.1-nano-2025-04-14;gpt-4o-2024-05-13;qwq-32b,1407;1322;1345;1336
4,94,4380.187500,66.182985,gemini-3-pro;qwq-32b;gpt-4.1-nano-2025-04-14;gpt-4o-2024-05-13,1486;1336;1322;1345
4,95,1479.500000,38.464269,llama-3.3-70b-instruct;claude-3-haiku-20240307;gpt-5-nano-high;gemma-3-27b-it,1318;1260;1337;1365
4,96,2239.250000,47.320714,gpt-5-nano-high;command-r-plus-08-2024;llama-3.3-70b-instruct;claude-haiku-4-5-20251001,1337;1276;1318;1407
4,97,8675.000000,93.139680,qwq-32b;claude-opus-4-5-20251101;gpt-5.4-high;claude-3-haiku-20240307,1336;1468;1484;1260
4,98,977.187500,31.259998,claude-opus-4-6-thinking;gemini-2.5-pro;deepseek-r1-0528;qwen3-max-preview,1504;1448;1422;1435
4,99,7076.750000,84.123421,gemini-2.5-pro;amazon-nova-pro-v1.0;claude-opus-4-6-thinking;gpt-5.4-high,1448;1290;1504;1484
6,0,8429.666667,91.813216,gpt-4o-mini-2024-07-18;deepseek-r1-0528;amazon-nova-micro-v1.0;claude-opus-4-6;claude-opus-4-5-20251101;gpt-4.1-nano-2025-04-14,1317;1422;1240;1499;1468;1322
6,1,3578.666667,59.821958,claude-opus-4-6;claude-opus-4-5-20251101;claude-haiku-4-5-20251001;gpt-4.1-nano-2025-04-14;gemma-3-27b-it;qwen3-max-preview,1499;1468;1407;1322;1365;1435
6,2,4565.805556,67.570745,gemma-3-27b-it;llama-3.3-70b-instruct;claude-opus-4-6;claude-opus-4-5-20251101;gemini-2.5-pro;gpt-4o-2024-05-13,1365;1318;1499;1468;1448;1345
6,3,4429.555556,66.554906,deepseek-r1-0528;gpt-5.4-high;gpt-4o-mini-2024-07-18;gpt-4o-2024-05-13;amazon-nova-pro-v1.0;qwq-32b,1422;1484;1317;1345;1290;1336
6,4,6058.805556,77.838330,command-r-plus-08-2024;llama-3.3-70b-instruct;gpt-5.2-chat-latest-20260210;claude-opus-4-5-20251101-thinking-32k;o3-mini-high;gpt-4.1-nano-2025-04-14,1276;1318;1478;1474;1363;1322
6,5,8528.138889,92.347923,amazon-nova-micro-v1.0;claude-opus-4-6-thinking;gpt-4.1-nano-2025-04-14;gpt-5.4-high;qwq-32b;claude-sonnet-4-20250514,1240;1504;1322;1484;1336;1389
6,6,4840.666667,69.574900,claude-opus-4-5-20251101;claude-opus-4-6;gpt-4o-2024-05-13;claude-haiku-4-5-20251001;gpt-5.4-high;gpt-4o-mini-2024-07-18,1468;1499;1345;1407;1484;1317
6,7,5580.666667,74.703860,gemini-2.5-pro;claude-3-haiku-20240307;gpt-4o-2024-05-13;gpt-5.2-chat-latest-20260210;claude-sonnet-4-20250514;llama-3.3-70b-instruct,1448;1260;1345;1478;1389;1318
6,8,4437.583333,66.615188,claude-opus-4-5-20251101-thinking-32k;claude-opus-4-6;gemma-3-27b-it;qwen3-max-preview;llama-3.3-70b-instruct;gemini-3-pro,1474;1499;1365;1435;1318;1486
6,9,8456.138889,91.957267,gpt-4o-mini-2024-07-18;amazon-nova-pro-v1.0;gpt-5.4-high;claude-3-haiku-20240307;gemini-2.5-pro;claude-opus-4-5-20251101-thinking-32k,1317;1290;1484;1260;1448;1474
6,10,7289.472222,85.378406,amazon-nova-micro-v1.0;qwq-32b;gpt-5.2-chat-latest-20260210;claude-haiku-4-5-20251001;command-r-plus-08-2024;claude-3-haiku-20240307,1240;1336;1478;1407;1276;1260
6,11,3557.805556,59.647343,gemini-3-pro;gpt-5-nano-high;gpt-4o-mini-2024-07-18;qwq-32b;llama-3.3-70b-instruct;claude-sonnet-4-20250514,1486;1337;1317;1336;1318;1389
6,12,3481.805556,59.006826,amazon-nova-pro-v1.0;deepseek-v3;claude-haiku-4-5-20251001;o3-mini-high;gemini-3-pro;claude-sonnet-4-20250514,1290;1358;1407;1363;1486;1389
