experiment_group,model_normalized,error_cause,samples_with_json_error,arena_elo
heterogeneous,command-r-plus-08-2024,missing colon delimiter,1,1276
heterogeneous,command-r-plus-08-2024,unterminated string,2,1276
heterogeneous,command-r-plus-08-2024,used item names instead of numeric indices,1,1276
heterogeneous,deepseek-r1-0528,JSON comments inside arrays/objects,1,1422
heterogeneous,deepseek-r1-0528,comments/prose inside JSON object,17,1422
heterogeneous,deepseek-v3,JSON comments inside arrays/objects,17,1358
heterogeneous,deepseek-v3,comments/prose inside JSON object,2,1358
heterogeneous,gemma-3-27b-it,used item names instead of numeric indices,1,1365
heterogeneous,gemma-3-27b-it,wrong proposal schema,1,1365
heterogeneous,gpt-4.1-nano-2025-04-14,comments/prose inside JSON object,2,1322
heterogeneous,gpt-4.1-nano-2025-04-14,missing comma/quote delimiter,2,1322
heterogeneous,gpt-4.1-nano-2025-04-14,missing value or truncated JSON,2,1322
heterogeneous,gpt-4o-2024-05-13,JSON comments inside arrays/objects,2,1345
heterogeneous,gpt-4o-2024-05-13,missing comma/quote delimiter,1,1345
heterogeneous,gpt-4o-2024-05-13,unescaped newline/control char in JSON string,12,1345
heterogeneous,gpt-4o-mini-2024-07-18,JSON comments inside arrays/objects,43,1317
heterogeneous,gpt-4o-mini-2024-07-18,missing comma/quote delimiter,5,1317
heterogeneous,gpt-4o-mini-2024-07-18,unescaped newline/control char in JSON string,3,1317
heterogeneous,gpt-5-nano-high,missing comma/quote delimiter,2,1337
heterogeneous,gpt-5-nano-high,missing value or truncated JSON,2,1337
heterogeneous,gpt-5-nano-high,natural language/no JSON object,22,1337
heterogeneous,gpt-5-nano-high,unescaped newline/control char in JSON string,7,1337
heterogeneous,gpt-5-nano-high,unterminated string,11,1337
heterogeneous,gpt-5-nano-high,wrong proposal schema,1,1337
heterogeneous,gpt-5.2-chat-latest-20260210,unescaped newline/control char in JSON string,1,1478
heterogeneous,gpt-5.4-high,missing comma/quote delimiter,1,1484
heterogeneous,gpt-5.4-high,natural language/no JSON object,2,1484
heterogeneous,gpt-5.4-high,unterminated string,3,1484
heterogeneous,llama-3.3-70b-instruct,JSON comments inside arrays/objects,24,1318
heterogeneous,llama-3.3-70b-instruct,missing comma/quote delimiter,7,1318
heterogeneous,llama-3.3-70b-instruct,missing value or truncated JSON,1,1318
heterogeneous,o3-mini-high,unescaped newline/control char in JSON string,1,1363
homogeneous,amazon-nova-micro-v1.0,JSON comments inside arrays/objects,7,1240
homogeneous,amazon-nova-micro-v1.0,comments/prose inside JSON object,1,1240
homogeneous,amazon-nova-micro-v1.0,missing comma/quote delimiter,8,1240
homogeneous,amazon-nova-micro-v1.0,missing value or truncated JSON,1,1240
homogeneous,amazon-nova-micro-v1.0,wrong proposal schema,7,1240
homogeneous,claude-sonnet-4-20250514,natural language/no JSON object,7,1389
homogeneous,gpt-4o-mini-2024-07-18,JSON comments inside arrays/objects,30,1317
homogeneous,gpt-4o-mini-2024-07-18,comments/prose inside JSON object,5,1317
homogeneous,gpt-4o-mini-2024-07-18,missing comma/quote delimiter,2,1317
homogeneous,gpt-4o-mini-2024-07-18,wrong proposal schema,6,1317
homogeneous,gpt-5-nano-high,JSON comments inside arrays/objects,9,1337
homogeneous,gpt-5-nano-high,comments/prose inside JSON object,1,1337
homogeneous,gpt-5-nano-high,invalid escape sequence,1,1337
homogeneous,gpt-5-nano-high,malformed object key,1,1337
homogeneous,gpt-5-nano-high,missing colon delimiter,8,1337
homogeneous,gpt-5-nano-high,missing comma/quote delimiter,133,1337
homogeneous,gpt-5-nano-high,missing value or truncated JSON,13,1337
homogeneous,gpt-5-nano-high,natural language/no JSON object,1,1337
homogeneous,gpt-5-nano-high,unescaped newline/control char in JSON string,85,1337
homogeneous,gpt-5-nano-high,unterminated string,4,1337
homogeneous,gpt-5-nano-high,wrong proposal schema,3,1337
