experiment_id,experiment_type,model_alpha,model_beta,model_alpha_short,model_beta_short,model_order,rho,theta,n_issues,consensus,final_round,exploitation,alpha_util,beta_util,social_welfare,util_ratio,token_budget,model_pair,adversary_model,adversary_short,adversary_elo
10,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,-1.0,0.25,5,True,10,True,0.18658583526587458,0.38286966522880234,0.5694555004946769,0.48733512265687373,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
11,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,-1.0,0.25,5,True,10,True,0.1214473747038543,0.3752909310802041,0.4967383057840584,0.32360860507417794,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
12,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,-1.0,0.5,5,True,10,True,0.3751695332853528,0.17314643786723194,0.5483159711525847,2.166775926242453,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
13,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,-1.0,0.5,5,True,10,True,0.37166034687780986,0.1389894074726236,0.5106497543504335,2.6740192194215586,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
14,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,-1.0,0.5,5,False,10,True,0.0,0.0,0.0,inf,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
15,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,-1.0,0.5,5,True,6,True,0.5597937659388341,0.29237159976944815,0.8521653657082823,1.914665331312151,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
16,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,-1.0,0.5,5,True,1,True,0.9691401452204258,0.4571886620757007,1.4263288072961264,2.1197816691699956,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
17,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,-1.0,0.5,5,True,3,True,0.7598499496842601,0.29689438566087706,1.0567443353451371,2.5593274456600428,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
18,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,-1.0,0.75,5,True,10,True,0.37084872273302555,0.13387854183399575,0.5047272645670213,2.7700385562375165,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
19,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,-1.0,0.75,5,True,9,True,0.372258031694781,0.3493719976397358,0.7216300293345168,1.065506206020108,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
20,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,-1.0,0.75,5,True,3,True,0.7798399727450194,0.2989872925332985,1.078827265278318,2.6082712952028486,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
21,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,-1.0,0.75,5,True,6,True,0.5801516265708315,0.36212130723702673,0.9422729338078583,1.6020919370842017,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
22,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,-1.0,0.75,5,True,10,True,0.37654050146744383,0.051037389884646456,0.4275778913520903,7.377738209545827,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
23,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,-1.0,0.75,5,True,10,True,0.13617278915698322,0.3734780656160532,0.5096508547730364,0.3646071930151127,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
24,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,-1.0,1.0,5,True,10,True,0.3699686934146034,0.1332015886328133,0.5031702820474168,2.777509616904555,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
25,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,-1.0,1.0,5,False,10,True,0.0,0.0,0.0,inf,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
26,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,-1.0,1.0,5,True,10,True,0.35626341723709903,0.24146641901940485,0.5977298362565039,1.4754159964929483,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
27,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,-1.0,1.0,5,True,10,True,0.10404014442104216,0.3795577628421479,0.4835979072631901,0.2741088566914934,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
28,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,-1.0,1.0,5,True,7,True,0.508565062605381,0.19989509418954685,0.7084601567949279,2.5441597987549587,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
29,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,-1.0,1.0,5,True,9,True,0.4217415539689601,0.2538574487073061,0.6755990026762662,1.6613322008731835,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
30,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,-0.5,0.0,5,True,10,True,0.38284531147980366,0.19104405298274207,0.5738893644625458,2.003963512616579,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
31,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,-0.5,0.0,5,True,10,True,0.37678169338801126,0.17440095000414685,0.5511826433921581,2.1604337211411537,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
32,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,-0.5,0.0,5,True,6,True,0.3770531848489683,0.5758315595907693,0.9528847444397376,0.6547977070185796,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
33,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,-0.5,0.0,5,True,1,True,0.4255394889556488,0.9817524920245325,1.4072919809801814,0.4334488503086124,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
34,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,-0.5,0.0,5,True,2,True,0.8892198409636016,0.5193094131113348,1.4085292540749363,1.7123121948358784,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
35,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,-0.5,0.0,5,True,1,True,0.7403102181206997,0.9898761436189025,1.7301863617396023,0.7478816646840168,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
36,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,-0.5,0.25,5,True,2,True,0.6336201419273438,0.8830020075952421,1.5166221495225858,0.7175749731905343,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
37,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,-0.5,0.25,5,True,7,True,0.5067506513659683,0.31693955763291193,0.8236902089988802,1.5988873561592485,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
38,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,-0.5,0.25,5,True,2,True,0.8320386480739811,0.5301080386718273,1.3621466867458083,1.56956429138225,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
39,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,-0.5,0.25,5,True,1,True,0.9916730630646731,0.5396736227731959,1.5313466858378688,1.8375422129560615,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
40,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,-0.5,0.25,5,True,2,True,0.416909710572351,0.8818517258876046,1.2987614364599556,0.47276622399612755,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
41,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,-0.5,0.25,5,True,1,False,0.6914994388175514,0.9732378837069436,1.664737322524495,0.7105143052834266,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
42,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,-0.5,0.5,5,True,2,True,0.8783640094692682,0.6519535469257751,1.5303175563950433,1.3472800533275875,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
43,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,-0.5,0.5,5,True,5,True,0.6283886819575558,0.3824339150281499,1.0108225969857056,1.6431301128491753,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
44,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,-0.5,0.5,5,True,1,True,0.9749575011922165,0.7418646396372721,1.7168221408294886,1.3141986409662454,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
45,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,-0.5,0.5,5,True,10,True,0.19375110279791188,0.37216433777099034,0.5659154405689022,0.5206063105303114,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
46,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,-0.5,0.5,5,True,3,True,0.4645028307389727,0.7614588300928482,1.225961660831821,0.6100169994513475,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
47,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,-0.5,0.5,5,True,2,True,0.8568959071006387,0.5960311325001746,1.4529270396008132,1.4376697128323035,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
48,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,-0.5,0.75,5,True,1,True,0.49404481061249694,0.9203333519930603,1.4143781626055572,0.536810721400676,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
49,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,-0.5,0.75,5,True,1,True,0.6252050295808527,0.9632137939016239,1.5884188234824765,0.6490823050284378,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
50,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,-0.5,0.75,5,True,2,True,0.6773285411384922,0.8838822428064393,1.5612107839449316,0.7663108368235652,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
51,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,-0.5,0.75,5,True,4,True,0.6706380343231357,0.2897481181112736,0.9603861524344093,2.314555271988296,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
52,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,-0.5,0.75,5,True,5,True,0.6497498629141827,0.2946633709353644,0.944413233849547,2.2050581341401543,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
53,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,-0.5,0.75,5,True,1,False,0.678922998603489,0.9665923309829074,1.6455153295863965,0.7023881494208696,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
54,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,-0.5,1.0,5,True,1,True,0.9528030356356469,0.5727404297704973,1.5255434654061442,1.6635861310112932,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
55,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,-0.5,1.0,5,True,4,True,0.7098302748473957,0.38174253419014453,1.0915728090375403,1.8594476938580595,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
56,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,-0.5,1.0,5,True,10,True,0.3800908372295319,0.16328208166643865,0.5433729188959706,2.3278171943324546,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
57,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,-0.5,1.0,5,True,1,True,0.877263622278408,0.9555223633251521,1.83278598560356,0.918098472573254,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
58,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,-0.5,1.0,5,True,5,True,0.2999559230665088,0.6126289724981345,0.9125848955646434,0.4896208578633982,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
59,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,-0.5,1.0,5,True,10,True,0.37801762251546944,0.1005176169542179,0.47853523946968735,3.760710151809932,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
60,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,0.0,0.0,5,True,1,True,0.9976510850401463,0.648083870271874,1.6457349553120202,1.5393857659528347,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
61,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,0.0,0.0,5,True,1,True,0.9635402581209268,0.5820945637023799,1.5456348218233067,1.6552984999419733,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
62,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,0.0,0.0,5,True,1,True,0.9726425810997963,0.9939321196233258,1.9665747007231222,0.9785804904548233,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
63,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,0.0,0.0,5,True,4,True,0.5342134546326391,0.7151715221885239,1.2493849768211631,0.7469724926936017,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
64,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,0.0,0.0,5,True,2,True,0.8690967694439119,0.8483102768277343,1.7174070462716462,1.0245034077553663,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
65,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,0.0,0.0,5,True,10,True,0.20355006434151066,0.3608748727766773,0.564424937118188,0.5640460993455617,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
66,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,0.0,0.25,5,True,1,True,0.6891753293734886,0.9778976665673691,1.6670729959408577,0.7047519929080535,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
67,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,0.0,0.25,5,True,2,True,0.6596501845563209,0.8297355940324187,1.4893857785887397,0.7950125188079464,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
68,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,0.0,0.25,5,True,1,True,0.9549313325080078,0.7219821743891982,1.6769135068972059,1.3226522293516265,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
69,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,0.0,0.25,5,True,1,True,0.979147210839185,0.8588238217250855,1.8379710325642704,1.1401025286797595,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
70,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,0.0,0.25,5,True,6,True,0.5151902644448323,0.5518530113929992,1.0670432758378317,0.9335642894189848,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
71,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,0.0,0.25,5,True,1,True,0.9842271190079128,0.6178980135088707,1.6021251325167836,1.5928633811569666,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
72,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,0.0,0.5,5,True,1,True,0.5436734326228873,0.9726199173134936,1.5162933499363809,0.5589783048290704,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
73,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,0.0,0.5,5,True,1,True,0.973800054842351,0.46620178765328146,1.4400018424956325,2.0887951969128333,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
74,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,0.0,0.5,5,True,1,True,0.9691918886405658,0.8504758920911293,1.8196677807316952,1.139587726887285,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
75,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,0.0,0.5,5,True,1,True,0.9788005541828704,0.7322469496401148,1.7110475038229853,1.336708271251839,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
76,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,0.0,0.5,5,True,2,True,0.886667840073122,0.7110835035051364,1.5977513435782584,1.2469250597186965,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
77,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,0.0,0.5,5,True,10,True,0.26172649728918757,0.3678362688689701,0.6295627661581576,0.7115298828306115,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
78,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,0.0,0.75,5,True,1,True,0.5770402153632297,0.9605739698947089,1.5376141852579386,0.6007243933816785,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
79,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,0.0,0.75,5,True,3,True,0.7905042690126006,0.6544487157604638,1.4449529847730644,1.2078933764795328,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
80,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,0.0,0.75,5,True,10,True,0.15963451569383527,0.37840268667512383,0.5380372023689591,0.42186411808140484,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
81,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,0.0,0.75,5,True,2,True,0.3423518833703537,0.8250312612306538,1.1673831446010077,0.41495625615408344,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
82,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,0.0,0.75,5,True,10,True,0.36113736495769955,0.15773587762794145,0.518873242585641,2.2895068033255574,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
83,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,0.0,0.75,5,True,1,True,0.6327611695064674,0.9534491104667385,1.5862102799732059,0.6636548952221626,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
84,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,0.0,1.0,5,True,1,True,0.9830863539216963,0.7214601704387663,1.7045465243604627,1.362634271721221,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
85,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,0.0,1.0,5,True,7,True,0.5152103188510605,0.3215185919562737,0.8367289108073341,1.6024277654249268,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
86,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,0.0,1.0,5,True,9,True,0.41222432229562783,0.2832977322232713,0.6955220545188991,1.4550922065650265,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
87,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,0.0,1.0,5,True,1,True,0.7938592963917088,0.9798220874626684,1.7736813838543772,0.8102075943679471,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
88,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,0.0,1.0,5,True,1,True,0.6077548958479831,0.9887441277909979,1.596499023638981,0.614673583150171,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
89,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,0.0,1.0,5,True,5,True,0.636098490184011,0.3111316199350126,0.9472301101190236,2.044467516084915,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
90,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,0.5,0.0,5,True,1,True,0.9428231889019254,0.9846662802543792,1.9274894691563045,0.9575053069333865,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
91,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,0.5,0.0,5,True,1,True,0.9702592231678994,0.8740358518659515,1.844295075033851,1.1100908745293727,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
92,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,0.5,0.0,5,True,1,True,0.6940440081507322,0.946690015989385,1.6407340241401172,0.7331269966181986,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
93,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,0.5,0.0,5,True,1,True,0.9793444778408893,0.7461467819474085,1.7254912597882979,1.3125359534284202,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
94,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,0.5,0.0,5,True,1,True,0.9477120108053912,0.5998248433615802,1.5475368541669714,1.5799812583522843,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
95,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,strong_first,0.5,0.0,5,True,1,True,0.9862142494245701,0.8004929776895566,1.7867072271141269,1.2320086208264516,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
96,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,0.5,0.25,5,True,1,True,0.9871265682174966,0.7232883674215513,1.710414935639048,1.364775949233777,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
97,model_scale,gpt-5-nano,gpt-5-nano,GPT-5-nano,GPT-5-nano,weak_first,0.5,0.25,5,True,1,True,0.9622405397930427,0.8928214337440539,1.8550619735370966,1.0777525084247577,,GPT-5-nano vs GPT-5-nano,gpt-5-nano,GPT-5-nano,1338
